t 1 2 3 4 5 jO1 jO2 
0.00188 0.0286017 -0.168617 0.0286017 0.0572033 0.0286017 -5.72033e-06 2.25821e-05
0.00189 0.0253289 -0.197219 0.0253289 0.0506578 0.0253289 -5.06578e-06 2.47877e-05
0.0019 0.0217365 -0.222548 0.0217365 0.043473 0.0217365 -4.3473e-06 2.66021e-05
0.00191 0.0178811 -0.244284 0.0178811 0.0357622 0.0178811 -3.57622e-06 2.80046e-05
0.00192 0.0138225 -0.262165 0.0138225 0.0276449 0.0138225 -2.76449e-06 2.8981e-05
0.00193 0.00962231 -0.275988 0.00962231 0.0192446 0.00962231 -1.92446e-06 2.95232e-05
0.00194 0.00534358 -0.28561 0.00534358 0.0106872 0.00534358 -1.06872e-06 2.96297e-05
0.00195 0.00104942 -0.290954 0.00104942 0.00209884 0.00104942 -2.09884e-07 2.93053e-05
0.00196 -0.00319772 -0.292003 -0.00319772 -0.00639544 -0.00319772 6.39544e-07 2.85608e-05
0.00197 -0.00733696 -0.288805 -0.00733696 -0.0146739 -0.00733696 1.46739e-06 2.74132e-05
0.00198 -0.0113099 -0.281468 -0.0113099 -0.0226198 -0.0113099 2.26198e-06 2.58849e-05
0.00199 -0.0150613 -0.270159 -0.0150613 -0.0301226 -0.0150613 3.01226e-06 2.40036e-05
0.002 -0.0185401 -0.255097 -0.0185401 -0.0370802 -0.0185401 3.70802e-06 2.18017e-05
0.00201 -0.0216998 -0.236557 -0.0216998 -0.0433995 -0.0216998 4.33995e-06 1.93158e-05
0.00202 -0.0244992 -0.214857 -0.0244992 -0.0489983 -0.0244992 4.89983e-06 1.65859e-05
0.00203 -0.0269029 -0.190358 -0.0269029 -0.0538058 -0.0269029 5.38058e-06 1.36552e-05
0.00204 -0.0288819 -0.163455 -0.0288819 -0.0577639 -0.0288819 5.77639e-06 1.05692e-05
0.00205 -0.0304137 -0.134573 -0.0304137 -0.0608274 -0.0304137 6.08274e-06 7.37461e-06
0.00206 -0.0314825 -0.10416 -0.0314825 -0.0629649 -0.0314825 6.29649e-06 4.11948e-06
0.00207 -0.0320795 -0.0726773 -0.0320795 -0.064159 -0.0320795 6.4159e-06 8.51828e-07
0.00208 -0.032203 -0.0405978 -0.032203 -0.0644059 -0.032203 6.44059e-06 -2.38081e-06
0.00209 -0.0318579 -0.00839483 -0.0318579 -0.0637158 -0.0318579 6.37158e-06 -5.5321e-06
0.0021 -0.0310562 0.0234631 -0.0310562 -0.0621123 -0.0310562 6.21123e-06 -8.55754e-06
0.00211 -0.0298159 0.0545192 -0.0298159 -0.0596319 -0.0298159 5.96319e-06 -1.14151e-05
0.00212 -0.0281616 0.0843352 -0.0281616 -0.0563231 -0.0281616 5.63231e-06 -1.40658e-05
0.00213 -0.026123 0.112497 -0.026123 -0.0522461 -0.026123 5.22461e-06 -1.64743e-05
0.00214 -0.0237355 0.13862 -0.0237355 -0.0474709 -0.0237355 4.74709e-06 -1.86091e-05
0.00215 -0.0210385 0.162355 -0.0210385 -0.042077 -0.0210385 4.2077e-06 -2.04432e-05
0.00216 -0.0180757 0.183394 -0.0180757 -0.0361514 -0.0180757 3.61514e-06 -2.19545e-05
0.00217 -0.0148939 0.201469 -0.0148939 -0.0297878 -0.0148939 2.97878e-06 -2.31257e-05
0.00218 -0.0115423 0.216363 -0.0115423 -0.0230847 -0.0115423 2.30847e-06 -2.39448e-05
0.00219 -0.00807208 0.227906 -0.00807208 -0.0161442 -0.00807208 1.61442e-06 -2.4405e-05
0.0022 -0.00453513 0.235978 -0.00453513 -0.00907025 -0.00453513 9.07025e-07 -2.45048e-05
0.00221 -0.000983707 0.240513 -0.000983707 -0.00196741 -0.000983707 1.96741e-07 -2.4248e-05
0.00222 0.0025305 0.241497 0.0025305 0.005061 0.0025305 -5.061e-07 -2.36436e-05
0.00223 0.0059571 0.238966 0.0059571 0.0119142 0.0059571 -1.19142e-06 -2.27052e-05
0.00224 0.00924771 0.233009 0.00924771 0.0184954 0.00924771 -1.84954e-06 -2.14514e-05
0.00225 0.0123566 0.223761 0.0123566 0.0247132 0.0123566 -2.47132e-06 -1.99048e-05
0.00226 0.0152414 0.211405 0.0152414 0.0304827 0.0152414 -3.04827e-06 -1.80922e-05
0.00227 0.0178634 0.196163 0.0178634 0.0357268 0.0178634 -3.57268e-06 -1.60436e-05
0.00228 0.0201886 0.1783 0.0201886 0.0403772 0.0201886 -4.03772e-06 -1.37923e-05
0.00229 0.0221875 0.158111 0.0221875 0.0443749 0.0221875 -4.43749e-06 -1.13736e-05
0.0023 0.0238358 0.135924 0.0238358 0.0476716 0.0238358 -4.76716e-06 -8.82522e-06
0.00231 0.0251148 0.112088 0.0251148 0.0502297 0.0251148 -5.02297e-06 -6.18584e-06
0.00232 0.0260113 0.0869732 0.0260113 0.0520227 0.0260113 -5.20227e-06 -3.49506e-06
0.00233 0.0265179 0.0609619 0.0265179 0.0530357 0.0265179 -5.30357e-06 -7.92616e-07
0.00234 0.0266327 0.034444 0.0266327 0.0532655 0.0266327 -5.32655e-06 1.88214e-06
0.00235 0.02636 0.00781129 0.02636 0.0527199 0.02636 -5.27199e-06 4.49086e-06
0.00236 0.0257091 -0.0185487 0.0257091 0.0514182 0.0257091 -5.14182e-06 6.99669e-06
0.00237 0.0246951 -0.0442578 0.0246951 0.0493902 0.0246951 -4.93902e-06 9.3648e-06
0.00238 0.0233379 -0.0689529 0.0233379 0.0466758 0.0233379 -4.66758e-06 1.15629e-05
0.00239 0.0216621 -0.0922908 0.0216621 0.0433242 0.0216621 -4.33242e-06 1.35615e-05
0.0024 0.0196967 -0.113953 0.0196967 0.0393933 0.0196967 -3.93933e-06 1.53346e-05
0.00241 0.0174743 -0.13365 0.0174743 0.0349485 0.0174743 -3.49485e-06 1.68598e-05
0.00242 0.0150308 -0.151124 0.0150308 0.0300616 0.0150308 -3.00616e-06 1.81185e-05
0.00243 0.0124049 -0.166155 0.0124049 0.0248099 0.0124049 -2.48099e-06 1.90964e-05
0.00244 0.00963733 -0.17856 0.00963733 0.0192747 0.00963733 -1.92747e-06 1.97834e-05
0.00245 0.00677017 -0.188197 0.00677017 0.0135403 0.00677017 -1.35403e-06 2.01737e-05
0.00246 0.00384644 -0.194967 0.00384644 0.00769289 0.00384644 -7.69289e-07 2.0266e-05
0.00247 0.000909343 -0.198813 0.000909343 0.00181869 0.000909343 -1.81869e-07 2.00632e-05
0.00248 -0.00199837 -0.199723 -0.00199837 -0.00399674 -0.00199837 3.99674e-07 1.95726e-05
0.00249 -0.00483498 -0.197724 -0.00483498 -0.00966996 -0.00483498 9.66996e-07 1.88054e-05
0.0025 -0.00756041 -0.192889 -0.00756041 -0.0151208 -0.00756041 1.51208e-06 1.77769e-05
0.00251 -0.0101368 -0.185329 -0.0101368 -0.0202735 -0.0101368 2.02735e-06 1.65056e-05
0.00252 -0.0125289 -0.175192 -0.0125289 -0.0250577 -0.0125289 2.50577e-06 1.50135e-05
0.00253 -0.0147047 -0.162663 -0.0147047 -0.0294095 -0.0147047 2.94095e-06 1.33254e-05
0.00254 -0.016636 -0.147959 -0.016636 -0.0332719 -0.016636 3.32719e-06 1.14687e-05
0.00255 -0.0182981 -0.131323 -0.0182981 -0.0365962 -0.0182981 3.65962e-06 9.47266e-06
0.00256 -0.0196709 -0.113025 -0.0196709 -0.0393419 -0.0196709 3.93419e-06 7.36828e-06
0.00257 -0.0207388 -0.0933537 -0.0207388 -0.0414776 -0.0207388 4.14776e-06 5.18761e-06
0.00258 -0.0214906 -0.0726149 -0.0214906 -0.0429812 -0.0214906 4.29812e-06 2.96337e-06
0.00259 -0.0219201 -0.0511243 -0.0219201 -0.0438402 -0.0219201 4.38402e-06 7.28411e-07
0.0026 -0.0220257 -0.0292042 -0.0220257 -0.0440513 -0.0220257 4.40513e-06 -1.48471e-06
0.00261 -0.0218105 -0.00717855 -0.0218105 -0.043621 -0.0218105 4.3621e-06 -3.64424e-06
0.00262 -0.0212823 0.0146319 -0.0212823 -0.0425647 -0.0212823 4.25647e-06 -5.71966e-06
0.00263 -0.0204534 0.0359143 -0.0204534 -0.0409068 -0.0204534 4.09068e-06 -7.68211e-06
