t 1 2 3 4 5
9.9000000e-004 -5.8138197e-002 -3.9981722e-001 -5.8138197e-002 -1.1627639e-001 -5.8138197e-002
1.0000000e-003 -6.2247484e-002 -3.4167903e-001 -6.2247484e-002 -1.2449497e-001 -6.2247484e-002
1.0100000e-003 -6.5395079e-002 -2.7943154e-001 -6.5395079e-002 -1.3079016e-001 -6.5395079e-002
1.0200000e-003 -6.7549302e-002 -2.1403646e-001 -6.7549302e-002 -1.3509860e-001 -6.7549302e-002
1.0300000e-003 -6.8693329e-002 -1.4648716e-001 -6.8693329e-002 -1.3738666e-001 -6.8693329e-002
1.0400000e-003 -6.8825220e-002 -7.7793832e-002 -6.8825220e-002 -1.3765044e-001 -6.8825220e-002
1.0500000e-003 -6.7957733e-002 -8.9686118e-003 -6.7957733e-002 -1.3591547e-001 -6.7957733e-002
1.0600000e-003 -6.6117924e-002 5.8989122e-002 -6.6117924e-002 -1.3223585e-001 -6.6117924e-002
1.0700000e-003 -6.3346548e-002 1.2510705e-001 -6.3346548e-002 -1.2669310e-001 -6.3346548e-002
1.0800000e-003 -5.9697270e-002 1.8845359e-001 -5.9697270e-002 -1.1939454e-001 -5.9697270e-002
1.0900000e-003 -5.5235703e-002 2.4815086e-001 -5.5235703e-002 -1.1047141e-001 -5.5235703e-002
1.1000000e-003 -5.0038279e-002 3.0338657e-001 -5.0038279e-002 -1.0007656e-001 -5.0038279e-002
1.1100000e-003 -4.4190987e-002 3.5342484e-001 -4.4190987e-002 -8.8381974e-002 -4.4190987e-002
1.1200000e-003 -3.7787990e-002 3.9761583e-001 -3.7787990e-002 -7.5575980e-002 -3.7787990e-002
1.1300000e-003 -3.0930137e-002 4.3540382e-001 -3.0930137e-002 -6.1860275e-002 -3.0930137e-002
1.1400000e-003 -2.3723411e-002 4.6633396e-001 -2.3723411e-002 -4.7446823e-002 -2.3723411e-002
1.1500000e-003 -1.6277313e-002 4.9005737e-001 -1.6277313e-002 -3.2554626e-002 -1.6277313e-002
1.1600000e-003 -8.7032262e-003 5.0633468e-001 -8.7032262e-003 -1.7406452e-002 -8.7032262e-003
1.1700000e-003 -1.1127749e-003 5.1503791e-001 -1.1127749e-003 -2.2255499e-003 -1.1127749e-003
1.1800000e-003 6.3837969e-003 5.1615068e-001 6.3837969e-003 1.2767594e-002 6.3837969e-003
1.1900000e-003 1.3679204e-002 5.0976689e-001 1.3679204e-002 2.7358408e-002 1.3679204e-002
1.2000000e-003 2.0670631e-002 4.9608768e-001 2.0670631e-002 4.1341263e-002 2.0670631e-002
