t 1 2 3 4 5 6 jL0100 jL0200 jL0300
2.7900000e-005 6.2541146e-001 -2.0738021e-001 -8.5956952e-001 -8.5956952e-001 -1.0669497e+000 -4.4153827e-001 2.4503807e-002 6.0785706e-002 4.1118091e-002
2.8200000e-005 6.1800470e-001 -2.2553473e-001 -8.7119927e-001 -8.7119927e-001 -1.0967340e+000 -4.7872931e-001 2.4689209e-002 6.0515064e-002 3.8765853e-002
2.8500000e-005 6.1054299e-001 -2.4360156e-001 -8.8211452e-001 -8.8211452e-001 -1.1257161e+000 -5.1517309e-001 2.4872372e-002 6.0222742e-002 3.6384143e-002
2.8800000e-005 6.0302700e-001 -2.6157421e-001 -8.9230699e-001 -8.9230699e-001 -1.1538812e+000 -5.5085420e-001 2.5053280e-002 5.9908853e-002 3.3974915e-002
2.9100000e-005 5.9545743e-001 -2.7944627e-001 -9.0176903e-001 -9.0176903e-001 -1.1812153e+000 -5.8575787e-001 2.5231917e-002 5.9573518e-002 3.1540138e-002
2.9400000e-005 5.8783495e-001 -2.9721133e-001 -9.1049358e-001 -9.1049358e-001 -1.2077049e+000 -6.1986996e-001 2.5408267e-002 5.9216864e-002 2.9081806e-002
2.9700000e-005 5.8016025e-001 -3.1486303e-001 -9.1847415e-001 -9.1847415e-001 -1.2333372e+000 -6.5317694e-001 2.5582315e-002 5.8839028e-002 2.6601925e-002
3.0000000e-005 5.7243404e-001 -3.3239508e-001 -9.2570491e-001 -9.2570491e-001 -1.2581000e+000 -6.8566595e-001 2.5754046e-002 5.8440154e-002 2.4102522e-002
3.0300000e-005 5.6465701e-001 -3.4980120e-001 -9.3218060e-001 -9.3218060e-001 -1.2819818e+000 -7.1732479e-001 2.5923443e-002 5.8020393e-002 2.1585634e-002
3.0600000e-005 5.5682986e-001 -3.6707517e-001 -9.3789659e-001 -9.3789659e-001 -1.3049718e+000 -7.4814191e-001 2.6090492e-002 5.7579903e-002 1.9053314e-002
3.0900000e-005 5.4895330e-001 -3.8421082e-001 -9.4284888e-001 -9.4284888e-001 -1.3270597e+000 -7.7810640e-001 2.6255178e-002 5.7118850e-002 1.6507622e-002
3.1200000e-005 5.4102806e-001 -4.0120205e-001 -9.4703407e-001 -9.4703407e-001 -1.3482361e+000 -8.0720806e-001 2.6417486e-002 5.6637407e-002 1.3950630e-002
3.1500000e-005 5.3305484e-001 -4.1804277e-001 -9.5044939e-001 -9.5044939e-001 -1.3684922e+000 -8.3543733e-001 2.6577403e-002 5.6135756e-002 1.1384416e-002
3.1800000e-005 5.2503436e-001 -4.3472700e-001 -9.5309271e-001 -9.5309271e-001 -1.3878197e+000 -8.6278535e-001 2.6734913e-002 5.5614083e-002 8.8110660e-003
3.2100000e-005 5.1696736e-001 -4.5124877e-001 -9.5496251e-001 -9.5496251e-001 -1.4062113e+000 -8.8924392e-001 2.6890003e-002 5.5072585e-002 6.2326672e-003
3.2400000e-005 5.0885456e-001 -4.6760221e-001 -9.5605791e-001 -9.5605791e-001 -1.4236601e+000 -9.1480555e-001 2.7042659e-002 5.4511462e-002 3.6513109e-003
3.2700000e-005 5.0069670e-001 -4.8378149e-001 -9.5637863e-001 -9.5637863e-001 -1.4401601e+000 -9.3946342e-001 2.7192868e-002 5.3930924e-002 1.0690886e-003
3.3000000e-005 4.9249452e-001 -4.9978085e-001 -9.5592506e-001 -9.5592506e-001 -1.4557059e+000 -9.6321139e-001 2.7340617e-002 5.3331187e-002 -1.5119091e-003
3.3300000e-005 4.8424875e-001 -5.1559459e-001 -9.5469818e-001 -9.5469818e-001 -1.4702928e+000 -9.8604402e-001 2.7485891e-002 5.2712474e-002 -4.0895942e-003
3.3600000e-005 4.7596015e-001 -5.3121709e-001 -9.5269962e-001 -9.5269962e-001 -1.4839167e+000 -1.0079566e+000 2.7628679e-002 5.2075013e-002 -6.6618832e-003
3.3900000e-005 4.6762946e-001 -5.4664280e-001 -9.4993161e-001 -9.4993161e-001 -1.4965744e+000 -1.0289450e+000 2.7768968e-002 5.1419042e-002 -9.2266985e-003
3.4200000e-005 4.5925743e-001 -5.6186625e-001 -9.4639702e-001 -9.4639702e-001 -1.5082633e+000 -1.0490058e+000 2.7906746e-002 5.0744803e-002 -1.1781970e-002
3.4500000e-005 4.5084483e-001 -5.7688201e-001 -9.4209933e-001 -9.4209933e-001 -1.5189813e+000 -1.0681365e+000 2.8041999e-002 5.0052544e-002 -1.4325639e-002
3.4800000e-005 4.4239242e-001 -5.9168477e-001 -9.3704263e-001 -9.3704263e-001 -1.5287274e+000 -1.0863350e+000 2.8174717e-002 4.9342522e-002 -1.6855654e-002
3.5100000e-005 4.3390095e-001 -6.0626927e-001 -9.3123164e-001 -9.3123164e-001 -1.5375009e+000 -1.1035999e+000 2.8304887e-002 4.8614999e-002 -1.9369979e-002
3.5400000e-005 4.2537120e-001 -6.2063034e-001 -9.2467166e-001 -9.2467166e-001 -1.5453020e+000 -1.1199308e+000 2.8432498e-002 4.7870243e-002 -2.1866593e-002
3.5700000e-005 4.1680394e-001 -6.3476290e-001 -9.1736861e-001 -9.1736861e-001 -1.5521315e+000 -1.1353276e+000 2.8557540e-002 4.7108527e-002 -2.4343488e-002
3.6000000e-005 4.0819994e-001 -6.4866194e-001 -9.0932901e-001 -9.0932901e-001 -1.5579909e+000 -1.1497910e+000 2.8680000e-002 4.6330133e-002 -2.6798676e-002
3.6300000e-005 3.9955998e-001 -6.6232254e-001 -9.0055995e-001 -9.0055995e-001 -1.5628825e+000 -1.1633225e+000 2.8799868e-002 4.5535346e-002 -2.9230188e-002
