t 1 2 3 4 5 6 7 8 jV0100 
1.13e-07 0 4.87703 0 4.97984 0.0193381 4.97923 4.99989 0.000661464 0
1.14e-07 0 4.881 0 4.9808 0.0184173 4.98022 4.9999 0.000601331 0
1.15e-07 0 4.88484 0 4.98171 0.0175402 4.98116 4.99991 0.000546664 0
1.16e-07 0 4.88855 0 4.98258 0.016705 4.98206 4.99992 0.000496968 0
1.17e-07 0 4.89215 0 4.98341 0.0159095 4.98291 4.99993 0.000451789 0
1.18e-07 0 4.89562 0 4.9842 0.0151519 4.98372 4.99993 0.000410717 0
1.19e-07 0 4.89899 0 4.98495 0.0144304 4.9845 4.99994 0.000373379 0
1.2e-07 0 4.90225 0 4.98567 0.0137432 4.98524 4.99995 0.000339436 0
1.21e-07 0 4.9054 0 4.98635 0.0130888 4.98594 4.99995 0.000308578 0
1.22e-07 0 4.90845 0 4.987 0.0124655 4.98661 4.99996 0.000280525 0
1.23e-07 0 4.91141 0 4.98762 0.0118719 4.98725 4.99996 0.000255023 0
1.24e-07 0 4.91427 0 4.98821 0.0113066 4.98785 4.99996 0.000231839 0
1.25e-07 0 4.91703 0 4.98877 0.0107682 4.98843 4.99997 0.000210763 0
1.26e-07 0 4.91971 0 4.98931 0.0102554 4.98898 4.99997 0.000191603 0
1.27e-07 0 4.9223 0 4.98982 0.00976706 4.98951 4.99997 0.000174184 0
1.28e-07 0 4.9248 0 4.9903 0.00930196 4.99001 4.99997 0.000158349 0
1.29e-07 0 4.92723 0 4.99076 0.00885901 4.99048 4.99998 0.000143954 0
1.3e-07 0 4.92958 0 4.9912 0.00843716 4.99094 4.99998 0.000130867 0
1.31e-07 0 4.93185 0 4.99162 0.00803539 4.99137 4.99998 0.00011897 0
1.32e-07 0 4.93405 0 4.99202 0.00765275 4.99178 4.99998 0.000108155 0
1.33e-07 0 4.93617 0 4.9924 0.00728833 4.99217 4.99998 9.83224e-05 0
1.34e-07 0 4.93823 0 4.99276 0.00694127 4.99254 4.99999 8.9384e-05 0
1.35e-07 0 4.94023 0 4.99311 0.00661073 4.9929 4.99999 8.12582e-05 0
1.36e-07 0 4.94215 0 4.99344 0.00629594 4.99324 4.99999 7.38711e-05 0
1.37e-07 0 4.94402 0 4.99375 0.00599613 4.99356 4.99999 6.71555e-05 0
1.38e-07 0 4.94583 0 4.99405 0.0057106 4.99387 4.99999 6.10505e-05 0
1.39e-07 0 4.94757 0 4.99433 0.00543867 4.99416 4.99999 5.55004e-05 0
1.4e-07 0 4.94926 0 4.9946 0.00517968 4.99444 4.99999 5.04549e-05 0
1.41e-07 0 4.9509 0 4.99486 0.00493303 4.9947 4.99999 4.58681e-05 0
1.42e-07 0 4.95249 0 4.9951 0.00469812 4.99495 4.99999 4.16983e-05 0
1.43e-07 0 4.95402 0 4.99533 0.0044744 4.99519 4.99999 3.79075e-05 0
1.44e-07 0 4.9555 0 4.99556 0.00426134 4.99542 4.99999 3.44614e-05 0
1.45e-07 0 4.95694 0 4.99577 0.00405842 4.99564 5 3.13285e-05 0
1.46e-07 0 4.95833 0 4.99597 0.00386516 4.99585 5 2.84805e-05 0
1.47e-07 0 4.95967 0 4.99616 0.0036811 4.99605 5 2.58914e-05 0
1.48e-07 0 4.96097 0 4.99634 0.00350581 4.99623 5 2.35376e-05 0
1.49e-07 0 4.96223 0 4.99652 0.00333887 4.99641 5 2.13978e-05 0
1.5e-07 0 4.96345 0 4.99668 0.00317988 4.99658 5 1.94526e-05 0
1.51e-07 0 4.96463 0 4.99684 0.00302845 4.99675 5 1.76841e-05 0
1.52e-07 0 4.96577 0 4.99699 0.00288424 4.9969 5 1.60765e-05 0
1.53e-07 0 4.96687 0 4.99714 0.0027469 4.99705 5 1.4615e-05 0
1.54e-07 0 4.96794 0 4.99727 0.00261609 4.99719 5 1.32864e-05 0
1.55e-07 0 4.96898 0 4.9974 0.00249152 4.99732 5 1.20785e-05 0
1.56e-07 0 4.96998 0 4.99753 0.00237287 4.99745 5 1.09805e-05 0
1.57e-07 0 4.97094 0 4.99764 0.00225988 4.99757 5 9.98224e-06 0
1.58e-07 0 4.97188 0 4.99776 0.00215226 4.99769 5 9.07476e-06 0
1.59e-07 0 4.97279 0 4.99786 0.00204978 4.9978 5 8.24978e-06 0
1.6e-07 0 4.97367 0 4.99796 0.00195217 4.9979 5 7.4998e-06 0
1.61e-07 0 4.97452 0 4.99806 0.00185921 4.998 5 6.818e-06 0
1.62e-07 0 4.97534 0 4.99815 0.00177067 4.9981 5 6.19818e-06 0
1.63e-07 0 4.97613 0 4.99824 0.00168636 4.99819 5 5.63471e-06 0
1.64e-07 0 4.9769 0 4.99833 0.00160605 4.99827 5 5.12247e-06 0
1.65e-07 0 4.97765 0 4.99841 0.00152957 4.99836 5 4.65679e-06 0
1.66e-07 0 4.97837 0 4.99848 0.00145674 4.99844 5 4.23344e-06 0
1.67e-07 0 4.97907 0 4.99855 0.00138737 4.99851 5 3.84859e-06 0
1.68e-07 0 4.97974 0 4.99862 0.0013213 4.99858 5 3.49871e-06 0
1.69e-07 0 4.9804 0 4.99869 0.00125838 4.99865 5 3.18065e-06 0
1.7e-07 0 4.98103 0 4.99875 0.00119846 4.99871 5 2.8915e-06 0
