t 1 2 3 4 5 6 7 
1.67e-08 0.151818 0 2.82611 5 0 5 0
1.68e-08 0.152727 0 2.83692 5 0 5 0
1.69e-08 0.153636 0 2.84769 5 0 5 0
1.7e-08 0.154545 0 2.85839 5 0 5 0
1.71e-08 0.155455 0 2.86905 5 0 5 0
1.72e-08 0.156364 0 2.87965 5 0 5 0
1.73e-08 0.157273 0 2.8902 5 0 5 0
1.74e-08 0.158182 0 2.9007 5 0 5 0
1.75e-08 0.159091 0 2.91114 5 0 5 0
1.76e-08 0.16 0 2.92153 5 0 5 0
1.77e-08 0.160909 0 2.93187 5 0 5 0
1.78e-08 0.161818 0 2.94216 5 0 5 0
1.79e-08 0.162727 0 2.9524 5 0 5 0
1.8e-08 0.163636 0 2.96259 5 0 5 0
1.81e-08 0.164545 0 2.97272 5 0 5 0
1.82e-08 0.165455 0 2.98281 5 0 5 0
1.83e-08 0.166364 0 2.99285 5 0 5 0
1.84e-08 0.167273 0 3.00283 5 0 5 0
1.85e-08 0.168182 0 3.01277 5 0 5 0
1.86e-08 0.169091 0 3.02265 5 0 5 0
1.87e-08 0.17 0 3.03249 5 0 5 0
1.88e-08 0.170909 0 3.04228 5 0 5 0
1.89e-08 0.171818 0 3.05202 5 0 5 0
1.9e-08 0.172727 0 3.06171 5 0 5 0
1.91e-08 0.173636 0 3.07136 5 0 5 0
1.92e-08 0.174545 0 3.08095 5 0 5 0
1.93e-08 0.175455 0 3.0905 5 0 5 0
1.94e-08 0.176364 0 3.1 5 0 5 0
1.95e-08 0.177273 0 3.10945 5 0 5 0
1.96e-08 0.178182 0 3.11886 5 0 5 0
1.97e-08 0.179091 0 3.12822 5 0 5 0
1.98e-08 0.18 0 3.13753 5 0 5 0
1.99e-08 0.180909 0 3.14679 5 0 5 0
2e-08 0.181818 0 3.15601 5 0 5 0
2.01e-08 0.182727 0 3.16519 5 0 5 0
2.02e-08 0.183636 0 3.17432 5 0 5 0
2.03e-08 0.184545 0 3.1834 5 0 5 0
2.04e-08 0.185455 0 3.19244 5 0 5 0
2.05e-08 0.186364 0 3.20143 5 0 5 0
2.06e-08 0.187273 0 3.21038 5 0 5 0
2.07e-08 0.188182 0 3.21928 5 0 5 0
2.08e-08 0.189091 0 3.22814 5 0 5 0
2.09e-08 0.19 0 3.23696 5 0 5 0
2.1e-08 0.190909 0 3.24573 5 0 5 0
2.11e-08 0.191818 0 3.25446 5 0 5 0
2.12e-08 0.192727 0 3.26314 5 0 5 0
2.13e-08 0.193636 0 3.27178 5 0 5 0
2.14e-08 0.194545 0 3.28038 5 0 5 0
2.15e-08 0.195455 0 3.28893 5 0 5 0
2.16e-08 0.196364 0 3.29745 5 0 5 0
2.17e-08 0.197273 0 3.30592 5 0 5 0
2.18e-08 0.198182 0 3.31435 5 0 5 0
2.19e-08 0.199091 0 3.32273 5 0 5 0
2.2e-08 0.2 0 3.33108 5 0 5 0
2.21e-08 0.200909 0 3.33938 5 0 5 0
2.22e-08 0.201818 0 3.34764 5 0 5 0
2.23e-08 0.202727 0 3.35586 5 0 5 0
2.24e-08 0.203636 0 3.36404 5 0 5 0
2.25e-08 0.204545 0 3.37218 5 0 5 0
2.26e-08 0.205455 0 3.38028 5 0 5 0
2.27e-08 0.206364 0 3.38834 5 0 5 0
2.28e-08 0.207273 0 3.39636 5 0 5 0
2.29e-08 0.208182 0 3.40433 5 0 5 0
2.3e-08 0.209091 0 3.41227 5 0 5 0
2.31e-08 0.21 0 3.42017 5 0 5 0
2.32e-08 0.210909 0 3.42803 5 0 5 0
2.33e-08 0.211818 0 3.43585 5 0 5 0
2.34e-08 0.212727 0 3.44363 5 0 5 0
2.35e-08 0.213636 0 3.45138 5 0 5 0
2.36e-08 0.214545 0 3.45908 5 0 5 0
2.37e-08 0.215455 0 3.46675 5 0 5 0
2.38e-08 0.216364 0 3.47438 5 0 5 0
2.39e-08 0.217273 0 3.48197 5 0 5 0
2.4e-08 0.218182 0 3.48952 5 0 5 0
2.41e-08 0.219091 0 3.49703 5 0 5 0
2.42e-08 0.22 0 3.50451 5 0 5 0
2.43e-08 0.220909 0 3.51195 5 0 5 0
2.44e-08 0.221818 0 3.51936 5 0 5 0
2.45e-08 0.222727 0 3.52672 5 0 5 0
2.46e-08 0.223636 0 3.53405 5 0 5 0
2.47e-08 0.224545 0 3.54134 5 0 5 0
2.48e-08 0.225455 0 3.5486 5 0 5 0
2.49e-08 0.226364 0 3.55582 5 0 5 0
2.5e-08 0.227273 0 3.56301 5 0 5 0
2.51e-08 0.228182 0 3.57016 5 0 5 0
2.52e-08 0.229091 0 3.57727 5 0 5 0
2.53e-08 0.23 0 3.58435 5 0 5 0
2.54e-08 0.230909 0 3.59139 5 0 5 0
2.55e-08 0.231818 0 3.5984 5 0 5 0
2.56e-08 0.232727 0 3.60537 5 0 5 0
2.57e-08 0.233636 0 3.61231 5 0 5 0
2.58e-08 0.234545 0 3.61921 5 0 5 0
2.59e-08 0.235455 0 3.62608 5 0 5 0
2.6e-08 0.236364 0 3.63292 5 0 5 0
2.61e-08 0.237273 0 3.63972 5 0 5 0
2.62e-08 0.238182 0 3.64649 5 0 5 0
2.63e-08 0.239091 0 3.65322 5 0 5 0
2.64e-08 0.24 0 3.65992 5 0 5 0
2.65e-08 0.240909 0 3.66659 5 0 5 0
2.66e-08 0.241818 0 3.67322 5 0 5 0
2.67e-08 0.242727 0 3.67982 5 0 5 0
2.68e-08 0.243636 0 3.68639 5 0 5 0
2.69e-08 0.244545 0 3.69293 5 0 5 0
2.7e-08 0.245455 0 3.69943 5 0 5 0
2.71e-08 0.246364 0 3.7059 5 0 5 0
2.72e-08 0.247273 0 3.71234 5 0 5 0
2.73e-08 0.248182 0 3.71875 5 0 5 0
2.74e-08 0.249091 0 3.72512 5 0 5 0
2.75e-08 0.25 0 3.73146 5 0 5 0
2.76e-08 0.250909 0 3.73777 5 0 5 0
2.77e-08 0.251818 0 3.74405 5 0 5 0
2.78e-08 0.252727 0 3.7503 5 0 5 0
2.79e-08 0.253636 0 3.75652 5 0 5 0
2.8e-08 0.254545 0 3.76271 5 0 5 0
