t 1 2 3 4 5 6 7 jV0700 
9.6e-09 1.88239 0.0896376 1.86447 0.169497 0 1.90238 5 0
9.7e-09 1.89745 0.0903548 1.87922 0.170838 0 1.91779 5 0
9.8e-09 1.91243 0.0910683 1.89389 0.172172 0 1.93313 5 0
9.9e-09 1.92734 0.091778 1.90848 0.173498 0 1.94838 5 0
1e-08 1.94216 0.092484 1.92299 0.174818 0 1.96357 5 0
1.01e-08 1.95691 0.0931864 1.93742 0.17613 0 1.97867 5 0
1.02e-08 1.97159 0.0938851 1.95178 0.177434 0 1.9937 5 0
1.03e-08 1.98618 0.0945801 1.96605 0.178732 0 2.00866 5 0
1.04e-08 2.0007 0.0952716 1.98025 0.180023 0 2.02354 5 0
1.05e-08 2.01515 0.0959594 1.99438 0.181307 0 2.03835 5 0
1.06e-08 2.02952 0.0966437 2.00842 0.182584 0 2.05309 5 0
1.07e-08 2.04381 0.0973243 2.02239 0.183854 0 2.06775 5 0
1.08e-08 2.05803 0.0980015 2.03628 0.185117 0 2.08234 5 0
1.09e-08 2.07218 0.0986751 2.0501 0.186373 0 2.09685 5 0
1.1e-08 2.08625 0.0993452 2.06384 0.187622 0 2.11129 5 0
1.11e-08 2.10025 0.100012 2.07751 0.188865 0 2.12567 5 0
1.12e-08 2.11417 0.100675 2.0911 0.1901 0 2.13997 5 0
1.13e-08 2.12803 0.101335 2.10462 0.191329 0 2.1542 5 0
1.14e-08 2.14181 0.101991 2.11807 0.192552 0 2.16835 5 0
1.15e-08 2.15552 0.102644 2.13145 0.193768 0 2.18244 5 0
1.16e-08 2.16915 0.103293 2.14475 0.194977 0 2.19646 5 0
1.17e-08 2.18272 0.103939 2.15798 0.19618 0 2.21041 5 0
1.18e-08 2.19622 0.104582 2.17113 0.197376 0 2.22429 5 0
1.19e-08 2.20964 0.105221 2.18422 0.198565 0 2.2381 5 0
1.2e-08 2.223 0.105857 2.19723 0.199749 0 2.25184 5 0
1.21e-08 2.23628 0.10649 2.21018 0.200925 0 2.26551 4.5 0
1.22e-08 2.2495 0.107119 2.22305 0.202096 0 2.27911 4 0
1.23e-08 2.26265 0.107745 2.23586 0.20326 0 2.29265 3.5 0
1.24e-08 2.27573 0.108368 2.24859 0.204418 0 2.30612 3 0
1.25e-08 2.28874 0.108988 2.26126 0.205569 0 2.31952 2.5 0
1.26e-08 2.30168 0.109604 2.27386 0.206714 0 2.33286 2 0
1.27e-08 2.31456 0.110217 2.28638 0.207853 0 2.34613 1.5 0
1.28e-08 2.32737 0.110827 2.29885 0.208986 0 2.35933 1 0
1.29e-08 2.34011 0.111434 2.31124 0.210113 0 2.37247 0.5 0
1.3e-08 2.35279 0.112037 2.32356 0.211233 0 2.38554 1.95421e-13 0
1.31e-08 2.3654 0.112638 2.33582 0.212348 0 2.39855 0 0
1.32e-08 2.37794 0.113235 2.34802 0.213456 0 2.41149 0 0
1.33e-08 2.39042 0.11383 2.36014 0.214558 0 2.42437 0 0
1.34e-08 2.40283 0.114421 2.3722 0.215655 0 2.43718 0 0
1.35e-08 2.41518 0.115009 2.3842 0.216745 0 2.44993 0 0
1.36e-08 2.42747 0.115594 2.39613 0.21783 0 2.46262 0 0
1.37e-08 2.43969 0.116176 2.40799 0.218909 0 2.47524 0 0
1.38e-08 2.45185 0.116755 2.4198 0.219981 0 2.4878 0 0
1.39e-08 2.46394 0.11733 2.43153 0.221048 0 2.5003 0 0
1.4e-08 2.47597 0.117903 2.44321 0.22211 0 2.51274 0 0
1.41e-08 2.48794 0.118473 2.45482 0.223165 0 2.52511 0 0
1.42e-08 2.49984 0.11904 2.46636 0.224215 0 2.53743 0 0
1.43e-08 2.51169 0.119604 2.47785 0.225259 0 2.54968 0 0
1.44e-08 2.52347 0.120165 2.48927 0.226297 0 2.56187 0 0
1.45e-08 2.53519 0.120723 2.50063 0.22733 0 2.574 0 0
1.46e-08 2.54685 0.121278 2.51193 0.228357 0 2.58607 0 0
1.47e-08 2.55845 0.121831 2.52317 0.229379 0 2.59808 0 0
1.48e-08 2.56998 0.12238 2.53434 0.230395 0 2.61003 0 0
1.49e-08 2.58146 0.122927 2.54546 0.231405 0 2.62192 0 0
1.5e-08 2.59288 0.123471 2.55651 0.23241 0 2.63375 0 0
1.51e-08 2.60424 0.124011 2.56751 0.23341 0 2.64552 0 0
1.52e-08 2.61554 0.124549 2.57844 0.234404 0 2.65724 0 0
1.53e-08 2.62678 0.125085 2.58932 0.235393 0 2.66889 0 0
1.54e-08 2.63796 0.125617 2.60014 0.236376 0 2.68049 0 0
1.55e-08 2.64909 0.126147 2.6109 0.237354 0 2.69203 0 0
1.56e-08 2.66015 0.126674 2.6216 0.238327 0 2.70351 0 0
1.57e-08 2.67116 0.127198 2.63224 0.239295 0 2.71494 0 0
1.58e-08 2.68211 0.12772 2.64282 0.240257 0 2.7263 0 0
1.59e-08 2.693 0.128238 2.65335 0.241214 0 2.73762 0 0
1.6e-08 2.70384 0.128754 2.66382 0.242166 0 2.74887 0 0
1.61e-08 2.71462 0.129268 2.67423 0.243112 0 2.76007 0 0
