t 1 2 3 4 5
0.0022100 -0.000984 0.240514 -0.000984 -0.001967 -0.000984
0.0022200 0.002531 0.241498 0.002531 0.005061 0.002531
0.0022300 0.005957 0.238967 0.005957 0.011914 0.005957
0.0022400 0.009248 0.233010 0.009248 0.018496 0.009248
0.0022500 0.012357 0.223762 0.012357 0.024713 0.012357
0.0022600 0.015241 0.211406 0.015241 0.030483 0.015241
0.0022700 0.017864 0.196164 0.017864 0.035727 0.017864
0.0022800 0.020189 0.178301 0.020189 0.040377 0.020189
0.0022900 0.022188 0.158112 0.022188 0.044375 0.022188
0.0023000 0.023836 0.135925 0.023836 0.047672 0.023836
0.0023100 0.025115 0.112089 0.025115 0.050230 0.025115
0.0023200 0.026011 0.086974 0.026011 0.052023 0.026011
0.0023300 0.026518 0.060962 0.026518 0.053036 0.026518
0.0023400 0.026633 0.034444 0.026633 0.053266 0.026633
0.0023500 0.026360 0.007811 0.026360 0.052720 0.026360
0.0023600 0.025709 -0.018549 0.025709 0.051419 0.025709
0.0023700 0.024695 -0.044258 0.024695 0.049390 0.024695
0.0023800 0.023338 -0.068953 0.023338 0.046676 0.023338
0.0023900 0.021662 -0.092291 0.021662 0.043324 0.021662
0.0024000 0.019697 -0.113953 0.019697 0.039394 0.019697
0.0024100 0.017474 -0.133650 0.017474 0.034949 0.017474
0.0024200 0.015031 -0.151125 0.015031 0.030062 0.015031
0.0024300 0.012405 -0.166156 0.012405 0.024810 0.012405
0.0024400 0.009637 -0.178561 0.009637 0.019275 0.009637
0.0024500 0.006770 -0.188198 0.006770 0.013540 0.006770
0.0024600 0.003846 -0.194968 0.003846 0.007693 0.003846
0.0024700 0.000909 -0.198815 0.000909 0.001819 0.000909
0.0024800 -0.001998 -0.199724 -0.001998 -0.003997 -0.001998
0.0024900 -0.004835 -0.197726 -0.004835 -0.009670 -0.004835
0.0025000 -0.007560 -0.192891 -0.007560 -0.015121 -0.007560
0.0025100 -0.010137 -0.185330 -0.010137 -0.020274 -0.010137
0.0025200 -0.012529 -0.175193 -0.012529 -0.025058 -0.012529
0.0025300 -0.014705 -0.162665 -0.014705 -0.029410 -0.014705
0.0025400 -0.016636 -0.147960 -0.016636 -0.033272 -0.016636
0.0025500 -0.018298 -0.131324 -0.018298 -0.036596 -0.018298
0.0025600 -0.019671 -0.113025 -0.019671 -0.039342 -0.019671
0.0025700 -0.020739 -0.093354 -0.020739 -0.041478 -0.020739
0.0025800 -0.021491 -0.072616 -0.021491 -0.042982 -0.021491
0.0025900 -0.021920 -0.051125 -0.021920 -0.043840 -0.021920
0.0026000 -0.022026 -0.029205 -0.022026 -0.044052 -0.022026
0.0026100 -0.021811 -0.007179 -0.021811 -0.043621 -0.021811
0.0026200 -0.021282 0.014632 -0.021282 -0.042565 -0.021282
0.0026300 -0.020454 0.035914 -0.020454 -0.040907 -0.020454
0.0026400 -0.019340 0.056368 -0.019340 -0.038680 -0.019340
0.0026500 -0.017963 0.075708 -0.017963 -0.035925 -0.017963
0.0026600 -0.016345 0.093671 -0.016345 -0.032690 -0.016345
0.0026700 -0.014513 0.110016 -0.014513 -0.029027 -0.014513
0.0026800 -0.012498 0.124529 -0.012498 -0.024997 -0.012498
0.0026900 -0.010331 0.137028 -0.010331 -0.020663 -0.010331
0.0027000 -0.008046 0.147359 -0.008046 -0.016092 -0.008046
0.0027100 -0.005677 0.155405 -0.005677 -0.011354 -0.005677
0.0027200 -0.003260 0.161082 -0.003260 -0.006521 -0.003260
0.0027300 -0.000831 0.164342 -0.000831 -0.001663 -0.000831
0.0027400 0.001575 0.165174 0.001575 0.003149 0.001575
0.0027500 0.003923 0.163599 0.003923 0.007845 0.003923
0.0027600 0.006180 0.159676 0.006180 0.012360 0.006180
0.0027700 0.008315 0.153496 0.008315 0.016630 0.008315
0.0027800 0.010299 0.145181 0.010299 0.020597 0.010299
0.0027900 0.012104 0.134883 0.012104 0.024208 0.012104
0.0028000 0.013708 0.122778 0.013708 0.027416 0.013708
0.0028100 0.015090 0.109070 0.015090 0.030180 0.015090
0.0028200 0.016234 0.093980 0.016234 0.032467 0.016234
